id,name,author,version,status
HR-PR-CU1,Llenar solicitud de unidades de aprendizaje,DanielO,1.0,Ok
HR-PR-CU2,Consultar Solicitud de Unidades de Aprendizaje,Daniel Isai Ortega,0.1,Creado
IN-DAE-CU1,Selección de Ciclo Escolar y Modalidad,Daniel Isai Ortega,0.1,Creado
